QE_Phase,AI Adoption Rate (%)
Test Design,66.08315098468272
Automation Development,54.26695842450766
Regression Testing,38.29321663019694
Defect Management,24.945295404814004
Test Planning,13.129102844638949
Test Execution,6.12691466083151
