AI_Phase_Count,Records,Mean_Overall_Productivity,Median_Overall_Productivity
0,119,-4.624493710984807,-4.188550093341645
1,63,0.9810245341016569,0.9617425238821536
2,78,6.887274905770826,7.325659127448009
3,71,9.728770366021186,10.016833761901776
4,45,12.964677820986966,13.599189288785162
5,38,16.924781021419452,20.585741085116
6,7,18.473755821163678,21.82415285863563
