,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
Baseline_Effort,2705.0,21.035296746765248,12.893455553018914,2.5,5.0,7.15,11.32,17.3,27.82,46.70063999999998,62.82064000000001,98.28
Actual_Effort,2705.0,19.839917892791128,12.222504536941084,0.0,4.8,7.0,11.3,16.57,25.28,42.87621999999998,61.25600000000003,111.8
Effort_Saved,2705.0,1.195378853974122,5.345299922485904,-41.0,-13.325456000000003,-5.299999999999998,-1.0799999999999983,0.2469999999999999,2.9899999999999984,10.76399999999998,17.06988,28.840000000000003
Productivity_Improvement_Pct,2705.0,2.5997676266787706,21.22033638956966,-133.78702962369897,-85.16523072897117,-23.076024442846872,-7.533234859675048,1.6666666666666667,14.778325123152719,33.91426648925674,42.98696728558797,100.0
