,AI_Used_Flag,Year,Sprint_Number,User story count,test case count,Baseline_Effort,Actual_Effort,Effort_Saved,Productivity_Improvement_Pct
AI_Used_Flag,1.0,0.44474501205307254,0.11426350501213749,0.10019324817933517,0.11363264804174623,0.39129788425598677,0.2096554900498182,0.5745727629363031,0.5792855786395791
Year,0.44474501205307254,1.0,0.007057493637969824,0.10112797358868467,0.17998740797744098,0.10216379319791906,0.012525042812561565,0.2668986283805999,0.2699291369486346
Sprint_Number,0.11426350501213749,0.007057493637969824,1.0,0.08074567407793087,-0.06463961750566227,-0.04635447989551958,-0.07020033099580862,0.07143298497476366,0.07181199159142003
User story count,0.10019324817933517,0.10112797358868467,0.08074567407793087,1.0,0.08976886625525905,0.12963872041701452,0.10921567013104552,0.07026736307581759,0.06944668984400486
test case count,0.11363264804174623,0.17998740797744098,-0.06463961750566227,0.08976886625525905,1.0,0.456299899139094,0.4423511509248677,0.11988155012304633,0.0972204728920973
Baseline_Effort,0.39129788425598677,0.10216379319791906,-0.04635447989551958,0.12963872041701452,0.456299899139094,1.0,0.9344856862028944,0.29638681879264955,0.28410810162715716
Actual_Effort,0.2096554900498182,0.012525042812561565,-0.07020033099580862,0.10921567013104552,0.4423511509248677,0.9344856862028944,1.0,-0.0017884309611665946,-0.02993020296927007
Effort_Saved,0.5745727629363031,0.2668986283805999,0.07143298497476366,0.07026736307581759,0.11988155012304633,0.29638681879264955,-0.0017884309611665946,1.0,0.9720574776852017
Productivity_Improvement_Pct,0.5792855786395791,0.2699291369486346,0.07181199159142003,0.06944668984400486,0.0972204728920973,0.28410810162715716,-0.02993020296927007,0.9720574776852017,1.0
