Sensitivity,AI_N,Traditional_N,AI_Mean_Pct,Traditional_Mean_Pct,Difference_Points,Mann_Whitney_U,Mann_Whitney_p,Welch_t,Welch_p,Cohens_d,Rank_Biserial,AI_Total_Hours_Saved,Traditional_Total_Hours_Saved
Primary - all valid observations,906,1799,16.95337623084814,-4.62889796274727,21.58227419359541,1392443.0,2.4351208975074465e-199,27.48051698594132,2.8764401005774188e-137,1.1592069103621707,0.7086301317754407,4417.6302,-1184.1304
Outcome winsorized at 1st/99th percentiles,906,1799,16.84974683395976,-4.402666488878472,21.25241332283823,1392475.0,2.313250860714352e-199,28.61745013242002,1.5833950127734113e-145,1.2280040692431056,0.7086693981326393,4417.6302,-1184.1304
Baseline effort >= 5 hours,906,1772,16.95337623084814,-4.57162022761702,21.52499645846516,1370889.0,6.934780944610473e-198,27.373344775069913,1.9171821141153512e-136,1.158010181279905,0.7078132241041664,4417.6302,-1174.9325000000001
Baseline effort >= 10 hours,856,1371,17.527649129955947,-4.232025755162811,21.759674885118756,1005845.0,2.7648849029926646e-177,26.952122763206642,5.5860529771913056e-133,1.205988437492185,0.7141540045127031,4392.4933,-988.1478999999999
Exclude 1.5-IQR outcome extremes,879,1740,18.156787682358168,-2.264834498926157,20.421622181284324,1325405.5,9.927670155667236e-207,34.45501363992869,4.175002003545774e-185,1.6139405144630559,0.733167915473435,4556.5897,-577.5945000000002
