Model,MAE,RMSE,R2
Random Forest,5.684951357405287,7.2859400062196205,0.4051697365298186
Linear Regression,5.802493750986204,7.459730893109837,0.3764544330235823
Gradient Boosting,5.935373703339289,7.511879319698898,0.36770597332058497
