Model,MAE,RMSE,R2
Random Forest,5.686596739181556,7.2870062398533895,0.40499562737173656
Linear Regression,5.802493750986207,7.45973089310984,0.37645443302358195
Gradient Boosting,5.940235232908535,7.5136393662001,0.3674096434102251
